epsilon_31, chisquare (fit), degrees of freedom, chisquare (fit reduced), chisquare (sensitivity), chisquare (sensitivity reduced), -2log(l)
0.9,13.0441,23,0.567137,89.1381,3.87557,inf
0.91,13.2698,23,0.576947,90.678,3.94252,inf
0.92,13.4962,23,0.586792,92.2232,4.00971,inf
0.93,13.7234,23,0.596672,93.7738,4.07712,inf
0.94,13.9514,23,0.606585,95.3296,4.14476,inf
0.95,14.1802,23,0.61653,96.8904,4.21263,inf
0.96,14.4097,23,0.626507,98.4561,4.2807,inf
0.97,14.6398,23,0.636515,100.027,4.34898,inf
0.98,14.8707,23,0.646552,101.602,4.41747,inf
0.99,15.1022,23,0.656619,103.181,4.48615,inf
1,15.3344,23,0.666715,104.765,4.55502,inf
1.01,15.5673,23,0.676838,106.354,4.62408,inf
1.02,15.8007,23,0.686988,107.946,4.69332,inf
1.03,16.0348,23,0.697165,109.543,4.76274,inf
1.04,16.2694,23,0.707367,111.144,4.83233,inf
1.05,16.5046,23,0.717593,112.748,4.90208,inf
1.06,16.7404,23,0.727844,114.356,4.972,inf
1.07,16.9767,23,0.738118,115.968,5.04207,inf
1.08,17.2135,23,0.748415,117.583,5.11229,inf
1.09,17.4509,23,0.758734,119.201,5.18267,inf
1.1,17.6887,23,0.769074,120.823,5.25318,inf
1.11,17.927,23,0.779435,122.448,5.32383,inf
1.12,18.1658,23,0.789816,124.076,5.39462,inf
1.13,18.405,23,0.800216,125.707,5.46554,inf
1.14,18.6446,23,0.810635,127.341,5.53658,inf
1.15,18.8847,23,0.821073,128.978,5.60775,inf
1.16,19.1251,23,0.831528,130.618,5.67903,inf
1.17,19.366,23,0.842,132.26,5.75043,inf
1.18,19.6072,23,0.852489,133.904,5.82193,inf
1.19,19.8488,23,0.862993,135.552,5.89355,inf
1.2,20.0908,23,0.873513,137.201,5.96526,inf
1.21,20.3331,23,0.884048,138.853,6.03707,inf
1.22,20.5757,23,0.894597,140.506,6.10898,inf
1.23,20.8187,23,0.90516,142.162,6.18098,inf
1.24,21.0619,23,0.915735,143.82,6.25306,inf
1.25,21.3055,23,0.926324,145.48,6.32523,inf
1.26,21.5493,23,0.936925,147.142,6.39748,inf
1.27,21.7934,23,0.947537,148.806,6.46981,inf
1.28,22.0377,23,0.958161,150.471,6.54221,inf
1.29,22.2823,23,0.968796,152.138,6.61468,inf
1.3,22.5271,23,0.97944,153.806,6.68721,inf
1.31,22.7722,23,0.990095,155.476,6.75982,inf
1.32,23.0175,23,1.00076,157.147,6.83248,inf
1.33,23.2629,23,1.01143,158.82,6.9052,inf
1.34,23.5086,23,1.02211,160.493,6.97798,inf
1.35,23.7544,23,1.0328,162.169,7.0508,inf
1.36,24.0005,23,1.0435,163.845,7.12368,inf
1.37,24.2467,23,1.0542,165.522,7.19661,inf
1.38,24.493,23,1.06491,167.2,7.26957,inf
1.39,24.7395,23,1.07563,168.879,7.34258,inf
1.4,24.9861,23,1.08635,170.559,7.41563,inf
1.41,25.2329,23,1.09708,172.24,7.48871,inf
1.42,25.4798,23,1.10782,173.922,7.56182,inf
1.43,25.7268,23,1.11856,175.604,7.63496,inf
1.44,25.9739,23,1.1293,177.287,7.70813,inf
1.45,26.221,23,1.14005,178.971,7.78133,inf
1.46,26.4683,23,1.1508,180.655,7.85455,inf
