epsilon_31, chisquare (fit), degrees of freedom, chisquare (fit reduced), chisquare (sensitivity), chisquare (sensitivity reduced), -2log(l)
1.07,12.2006,28,0.435737,371.102,13.2536,inf
1.08,12.3633,28,0.441546,376.043,13.4301,inf
1.09,12.5261,28,0.447361,380.991,13.6068,inf
1.1,12.6891,28,0.453183,385.944,13.7837,inf
1.11,12.8523,28,0.459012,390.903,13.9608,inf
1.12,13.0157,28,0.464847,395.867,14.1381,inf
1.13,13.1792,28,0.470687,400.835,14.3155,inf
1.14,13.3429,28,0.476533,405.808,14.4931,inf
1.15,13.5067,28,0.482384,410.785,14.6709,inf
1.16,13.6707,28,0.488239,415.766,14.8488,inf
1.17,13.8348,28,0.494099,420.75,15.0268,inf
1.18,13.999,28,0.499963,425.738,15.2049,inf
1.19,14.1633,28,0.505831,430.729,15.3832,inf
1.2,14.3277,28,0.511702,435.723,15.5615,inf
1.21,14.4922,28,0.517577,440.719,15.74,inf
1.22,14.6567,28,0.523454,445.718,15.9185,inf
1.23,14.8214,28,0.529334,450.719,16.0971,inf
1.24,14.9861,28,0.535217,455.722,16.2758,inf
1.25,15.1508,28,0.541101,460.726,16.4545,inf
1.26,15.3157,28,0.546988,465.732,16.6333,inf
1.27,15.4805,28,0.552876,470.74,16.8121,inf
1.28,15.6454,28,0.558765,475.748,16.991,inf
1.29,15.8104,28,0.564656,480.757,17.1699,inf
1.3,15.9753,28,0.570547,485.767,17.3488,inf
1.31,16.1403,28,0.576439,490.777,17.5277,inf
1.32,16.3053,28,0.582331,495.787,17.7067,inf
1.33,16.4702,28,0.588223,500.797,17.8856,inf
1.34,16.6352,28,0.594115,505.807,18.0645,inf
1.35,16.8002,28,0.600007,510.817,18.2435,inf
1.36,16.9652,28,0.605899,515.826,18.4224,inf
1.37,17.1301,28,0.611789,520.834,18.6012,inf
1.38,17.295,28,0.617679,525.842,18.7801,inf
1.39,17.4599,28,0.623568,530.848,18.9589,inf
1.4,17.6247,28,0.629455,535.853,19.1376,inf
1.41,17.7895,28,0.635341,540.857,19.3163,inf
1.42,17.9543,28,0.641225,545.859,19.495,inf
1.43,18.119,28,0.647107,550.86,19.6736,inf
1.44,18.2836,28,0.652987,555.858,19.8521,inf
1.45,18.4482,28,0.658864,560.855,20.0305,inf
1.46,18.6127,28,0.66474,565.849,20.2089,inf
1.47,18.7771,28,0.670612,570.841,20.3872,inf
1.48,18.9415,28,0.676482,575.83,20.5654,inf
1.49,19.1058,28,0.682349,580.817,20.7435,inf
1.5,19.27,28,0.688213,585.801,20.9215,inf
1.51,19.434,28,0.694073,590.782,21.0994,inf
1.52,19.598,28,0.69993,595.761,21.2772,inf
1.53,19.7619,28,0.705784,600.736,21.4548,inf
1.54,19.9257,28,0.711633,605.707,21.6324,inf
1.55,20.0894,28,0.717479,610.676,21.8098,inf
1.56,20.253,28,0.723321,615.64,21.9872,inf
1.57,20.4164,28,0.729159,620.602,22.1643,inf
1.58,20.5798,28,0.734992,625.559,22.3414,inf
1.59,20.743,28,0.740821,630.512,22.5183,inf
1.6,20.9061,28,0.746645,635.462,22.6951,inf
1.61,21.069,28,0.752465,640.407,22.8717,inf
1.62,21.2318,28,0.758279,645.349,23.0482,inf
1.63,21.3945,28,0.764089,650.286,23.2245,inf
1.64,21.557,28,0.769894,655.218,23.4006,inf
1.65,21.7194,28,0.775694,660.146,23.5766,inf
1.66,21.8817,28,0.781488,665.07,23.7525,inf
1.67,22.0438,28,0.787277,669.988,23.9282,inf
1.68,22.2057,28,0.79306,674.902,24.1036,inf
1.69,22.3675,28,0.798838,679.811,24.279,inf
1.7,22.5291,28,0.80461,684.715,24.4541,inf
1.71,22.6905,28,0.810376,689.614,24.6291,inf
1.72,22.8518,28,0.816136,694.508,24.8039,inf
1.73,23.0129,28,0.821891,699.397,24.9784,inf
1.74,23.1739,28,0.827639,704.28,25.1529,inf
1.75,23.3346,28,0.83338,709.158,25.3271,inf
1.76,23.4952,28,0.839116,714.03,25.5011,inf
1.77,23.6557,28,0.844845,718.897,25.6749,inf
1.78,23.8159,28,0.850567,723.758,25.8485,inf
1.79,23.9759,28,0.856283,728.614,26.0219,inf
1.8,24.1358,28,0.861993,733.464,26.1951,inf
1.81,24.2955,28,0.867695,738.307,26.3681,inf
1.82,24.4549,28,0.873391,743.145,26.5409,inf
1.83,24.6142,28,0.879079,747.977,26.7135,inf
1.84,24.7733,28,0.884761,752.803,26.8858,inf
1.85,24.9322,28,0.890436,757.623,27.058,inf
1.86,25.0909,28,0.896103,762.437,27.2299,inf
1.87,25.2494,28,0.901764,767.245,27.4016,inf
1.88,25.4077,28,0.907417,772.046,27.5731,inf
1.89,25.5657,28,0.913062,776.841,27.7443,inf
1.9,25.7236,28,0.918701,781.629,27.9153,inf
1.91,25.8813,28,0.924331,786.411,28.0861,inf
1.92,26.0387,28,0.929954,791.187,28.2567,inf
1.93,26.196,28,0.93557,795.956,28.427,inf
1.94,26.353,28,0.941178,800.718,28.5971,inf
1.95,26.5098,28,0.946778,805.474,28.7669,inf
1.96,26.6664,28,0.95237,810.223,28.9365,inf
1.97,26.8227,28,0.957955,814.965,29.1059,inf
1.98,26.9789,28,0.963531,819.7,29.275,inf
1.99,27.1348,28,0.9691,824.429,29.4439,inf
