This file was created to fix the data used in the second year transfer report for 2d chisquare test, E>300keV, subrange fit

epsilon_31,fit (summed): chisq,reduced chisq,dof,sensitivity (1d single): chisq,reduced chisq,dof,sensitivity (2d single): chisq,reduced chisq,dof
0.532,0.248833,0.0108188,23,1.7407,0.435175,4,1.76515,0.147096,12
0.538,0.266565,0.0115898,23,1.86473,0.466182,4,1.89093,0.157577,12
0.544,0.284851,0.0123848,23,1.99263,0.498157,4,2.02062,0.168385,12
0.55,0.303685,0.0132037,23,2.12437,0.531092,4,2.15421,0.179518,12
0.556,0.323064,0.0140462,23,2.2599,0.564976,4,2.29165,0.190971,12
0.562,0.34298,0.0149122,23,2.3992,0.599801,4,2.43291,0.202743,12
0.568,0.36343,0.0158013,23,2.54223,0.635558,4,2.57795,0.214829,12
0.574,0.384407,0.0167134,23,2.68895,0.672238,4,2.72673,0.227227,12
0.58,0.405908,0.0176482,23,2.83933,0.709832,4,2.87922,0.239935,12
0.586,0.427927,0.0186055,23,2.99332,0.748331,4,3.03538,0.252948,12
0.592,0.450459,0.0195852,23,3.15091,0.787727,4,3.19518,0.266265,12
0.598,0.4735,0.0205869,23,3.31205,0.828012,4,3.35858,0.279882,12
0.604,0.497044,0.0216106,23,3.47671,0.869177,4,3.52555,0.293796,12
0.61,0.521087,0.0226559,23,3.64485,0.911212,4,3.69606,0.308005,12
0.616,0.545623,0.0237228,23,3.81645,0.954111,4,3.87007,0.322506,12
0.622,0.570649,0.0248108,23,3.99146,0.997865,4,4.04754,0.337295,12
0.628,0.59616,0.02592,23,4.16986,1.04247,4,4.22845,0.352371,12
0.634,0.62215,0.02705,23,4.35162,1.0879,4,4.41276,0.36773,12
0.64,0.648616,0.0282007,23,4.5367,1.13417,4,4.60044,0.38337,12
0.646,0.675553,0.0293719,23,4.72506,1.18127,4,4.79146,0.399288,12
0.652,0.702956,0.0305633,23,4.91669,1.22917,4,4.98578,0.415481,12
0.658,0.730821,0.0317748,23,5.11155,1.27789,4,5.18337,0.431947,12
0.664,0.759144,0.0330063,23,5.3096,1.3274,4,5.3842,0.448684,12
0.67,0.78792,0.0342574,23,5.51082,1.3777,4,5.58825,0.465687,12
0.676,0.817144,0.035528,23,5.71517,1.42879,4,5.79547,0.482956,12
0.682,0.846813,0.036818,23,5.92263,1.48066,4,6.00585,0.500487,12
0.688,0.876922,0.038127,23,6.13316,1.53329,4,6.21934,0.518278,12
0.694,0.907467,0.0394551,23,6.34674,1.58668,4,6.43592,0.536327,12
0.7,0.938444,0.0408019,23,6.56333,1.64083,4,6.65556,0.55463,12
