epsilon_31, chisquare (fit), degrees of freedom, chisquare (fit reduced), chisquare (sensitivity), chisquare (sensitivity reduced), -2log(l)
1.09,373.861,28,13.3522,10305.6,368.058,662.21
1.1,379.064,28,13.538,10449,373.177,667.215
1.11,384.278,28,13.7242,10592.7,378.309,672.231
1.12,389.506,28,13.9109,10736.7,383.453,677.257
1.13,394.745,28,14.098,10881,388.608,682.294
1.14,399.996,28,14.2856,11025.7,393.775,687.34
1.15,405.258,28,14.4735,11170.7,398.953,692.397
1.16,410.531,28,14.6618,11316,404.142,697.463
1.17,415.816,28,14.8506,11461.6,409.341,702.538
1.18,421.11,28,15.0397,11607.4,414.551,707.622
1.19,426.415,28,15.2291,11753.6,419.771,712.715
1.2,431.73,28,15.4189,11900,425,717.816
1.21,437.054,28,15.6091,12046.7,430.239,722.925
1.22,442.388,28,15.7996,12193.6,435.487,728.043
1.23,447.731,28,15.9904,12340.8,440.744,733.167
1.24,453.083,28,16.1815,12488.3,446.009,738.299
1.25,458.443,28,16.373,12635.9,451.283,743.439
1.26,463.812,28,16.5647,12783.8,456.565,748.585
1.27,469.188,28,16.7567,12931.9,461.854,753.737
1.28,474.573,28,16.949,13080.3,467.152,758.897
1.29,479.965,28,17.1416,13228.8,472.457,764.062
1.3,485.364,28,17.3344,13377.5,477.768,769.233
1.31,490.77,28,17.5275,13526.4,483.087,774.41
1.32,496.184,28,17.7208,13675.6,488.413,779.592
1.33,501.603,28,17.9144,13824.8,493.745,784.78
1.34,507.03,28,18.1082,13974.3,499.083,789.972
1.35,512.462,28,18.3022,14123.9,504.427,795.17
1.36,517.9,28,18.4964,14273.7,509.777,800.372
1.37,523.344,28,18.6909,14423.7,515.132,805.578
1.38,528.794,28,18.8855,14573.8,520.493,810.789
1.39,534.249,28,19.0803,14724,525.858,816.004
1.4,539.709,28,19.2753,14874.4,531.229,821.222
1.41,545.173,28,19.4705,15024.9,536.605,826.445
1.42,550.643,28,19.6658,15175.6,541.985,831.67
1.43,556.117,28,19.8613,15326.3,547.369,836.899
1.44,561.595,28,20.057,15477.2,552.758,842.131
1.45,567.077,28,20.2528,15628.2,558.15,847.366
1.46,572.563,28,20.4487,15779.3,563.546,852.604
1.47,578.053,28,20.6448,15930.5,568.946,857.844
1.48,583.547,28,20.841,16081.8,574.349,863.086
1.49,589.043,28,21.0373,16233.2,579.756,868.331
1.5,594.543,28,21.2337,16384.6,585.165,873.578
