0.1,13.2161,0.574614,23,267.319,12.7295,21,312.351,2.38436,131
0.11,12.1923,0.530102,23,246.612,11.7434,21,288.156,2.19966,131
0.12,11.2142,0.487575,23,226.828,10.8013,21,265.039,2.0232,131
0.13,10.2812,0.447007,23,207.955,9.90263,21,242.988,1.85487,131
0.14,9.39258,0.408373,23,189.982,9.04678,21,221.987,1.69456,131
0.15,8.54791,0.371648,23,172.898,8.23322,21,202.024,1.54217,131
0.16,7.74657,0.336807,23,156.689,7.46139,21,183.085,1.3976,131
0.17,6.98801,0.303826,23,141.346,6.73076,21,165.157,1.26074,131
0.18,6.27167,0.272681,23,126.857,6.0408,21,148.227,1.13151,131
0.19,5.59702,0.243348,23,113.211,5.39099,21,132.282,1.00979,131
0.2,4.9635,0.215805,23,100.397,4.7808,21,117.31,0.895495,131
0.21,4.37061,0.190026,23,88.4044,4.20973,21,103.297,0.788527,131
0.22,3.8178,0.165991,23,77.2228,3.67728,21,90.2318,0.688792,131
0.23,3.30456,0.143677,23,66.8416,3.18293,21,78.1018,0.596197,131
0.24,2.83039,0.12306,23,57.2505,2.72622,21,66.895,0.510649,131
0.25,2.39478,0.104121,23,48.4394,2.30664,21,56.5995,0.432058,131
0.26,1.99723,0.086836,23,40.3981,1.92372,21,47.2037,0.360333,131
0.27,1.63725,0.0711848,23,33.1169,1.57699,21,38.6958,0.295388,131
0.28,1.31436,0.0571463,23,26.5858,1.26599,21,31.0645,0.237134,131
0.29,1.02809,0.0446996,23,20.7953,0.990254,21,24.2985,0.185485,131
0.3,0.777957,0.0338242,23,15.7359,0.749327,21,18.3867,0.140357,131
0.31,0.5635,0.0245,23,11.398,0.542762,21,13.3181,0.101665,131
0.32,0.384259,0.0167069,23,7.77247,0.370118,21,9.08184,0.069327,131
0.33,0.239782,0.0104253,23,4.85012,0.230958,21,5.66717,0.0432609,131
0.34,0.129622,0.00563573,23,2.62188,0.124852,21,3.06357,0.023386,131
0.35,0.0533363,0.00231897,23,1.07884,0.0513735,21,1.26059,0.0096228,131
0.36,0.0104901,0.00045609,23,0.212185,0.010104,21,0.24793,0.00189259,131
0.37,0.000652804,2.83828e-05,23,0.0132044,0.00062878,21,0.0154288,0.000117777,131
0.38,0.0233999,0.00101739,23,0.473314,0.0225387,21,0.553049,0.00422175,131
0.39,0.0783121,0.00340487,23,1.58403,0.0754301,21,1.85088,0.0141289,131
0.4,0.164976,0.00717285,23,3.33699,0.158904,21,3.89915,0.0297645,131
0.41,0.282982,0.0123036,23,5.72392,0.272568,21,6.68818,0.0510548,131
0.42,0.431928,0.0187795,23,8.73667,0.416032,21,10.2085,0.0779272,131
0.43,0.611415,0.0265832,23,12.3672,0.588913,21,14.4506,0.11031,131
0.44,0.82105,0.0356978,23,16.6075,0.790833,21,19.4052,0.148131,131
0.45,1.06045,0.0461063,23,21.4498,1.02142,21,25.0632,0.191322,131
0.46,1.32922,0.0577921,23,26.8863,1.2803,21,31.4156,0.239813,131
0.47,1.62699,0.0707386,23,32.9093,1.56711,21,38.4532,0.293536,131
0.48,1.95338,0.0849297,23,39.5113,1.88149,21,46.1675,0.352423,131
0.49,2.30804,0.100349,23,46.6849,2.22309,21,54.5495,0.416408,131
0.5,2.69058,0.116982,23,54.4226,2.59155,21,63.5907,0.485425,131
0.51,3.10066,0.134811,23,62.7173,2.98654,21,73.2827,0.55941,131
0.52,3.53791,0.153822,23,71.5616,3.4077,21,83.6169,0.638297,131
0.53,4.002,0.174,23,80.9486,3.85469,21,94.5852,0.722025,131
0.54,4.49256,0.195329,23,90.8711,4.3272,21,106.179,0.810529,131
0.55,5.00926,0.217794,23,101.322,4.82488,21,118.391,0.90375,131
0.56,5.55177,0.241381,23,112.296,5.34741,21,131.213,1.00163,131
0.57,6.11974,0.266076,23,123.784,5.89447,21,144.637,1.1041,131
0.58,6.71285,0.291863,23,135.781,6.46574,21,158.654,1.2111,131
0.59,7.33078,0.31873,23,148.279,7.06092,21,173.258,1.32258,131
0.6,7.9732,0.346661,23,161.273,7.67968,21,188.441,1.43848,131
0.61,8.6398,0.375644,23,174.756,8.32173,21,204.196,1.55875,131
0.62,9.33027,0.405664,23,188.722,8.98676,21,220.514,1.68331,131
0.63,10.0443,0.436708,23,203.164,9.67448,21,237.389,1.81213,131
0.64,10.7816,0.468763,23,218.076,10.3846,21,254.814,1.94514,131
0.65,11.5418,0.501816,23,233.453,11.1168,21,272.78,2.08229,131
0.66,12.3246,0.535854,23,249.287,11.8708,21,291.282,2.22353,131
0.67,13.1299,0.570863,23,265.574,12.6464,21,310.313,2.3688,131
0.68,13.9571,0.606832,23,282.307,13.4432,21,329.864,2.51805,131
0.69,14.8062,0.643748,23,299.48,14.261,21,349.931,2.67123,131
0.7,15.6768,0.681599,23,317.089,15.0995,21,370.505,2.82828,131
